Week,gym membership: (Worldwide)
2016-01-03,74
2016-01-10,61
2016-01-17,57
2016-01-24,53
2016-01-31,50
2016-02-07,48
2016-02-14,46
2016-02-21,50
2016-02-28,43
2016-03-06,44
2016-03-13,42
2016-03-20,43
2016-03-27,47
2016-04-03,47
2016-04-10,46
2016-04-17,44
2016-04-24,47
2016-05-01,47
2016-05-08,45
2016-05-15,46
2016-05-22,45
2016-05-29,44
2016-06-05,47
2016-06-12,48
2016-06-19,48
2016-06-26,45
2016-07-03,48
2016-07-10,46
2016-07-17,46
2016-07-24,45
2016-07-31,47
2016-08-07,54
2016-08-14,44
2016-08-21,52
2016-08-28,54
2016-09-04,52
2016-09-11,50
2016-09-18,46
2016-09-25,46
2016-10-02,40
2016-10-09,39
2016-10-16,41
2016-10-23,42
2016-10-30,44
2016-11-06,42
2016-11-13,47
2016-11-20,40
2016-11-27,48
2016-12-04,45
2016-12-11,43
2016-12-18,43
2016-12-25,57
2017-01-01,81
2017-01-08,71
2017-01-15,65
2017-01-22,61
2017-01-29,59
2017-02-05,51
2017-02-12,48
2017-02-19,50
2017-02-26,56
2017-03-05,49
2017-03-12,47
2017-03-19,46
2017-03-26,49
2017-04-02,52
2017-04-09,47
2017-04-16,49
2017-04-23,47
2017-04-30,50
2017-05-07,50
2017-05-14,51
2017-05-21,53
2017-05-28,56
2017-06-04,59
2017-06-11,53
2017-06-18,54
2017-06-25,56
2017-07-02,55
2017-07-09,57
2017-07-16,58
2017-07-23,54
2017-07-30,55
2017-08-06,52
2017-08-13,51
2017-08-20,53
2017-08-27,58
2017-09-03,57
2017-09-10,54
2017-09-17,60
2017-09-24,59
2017-10-01,51
2017-10-08,51
2017-10-15,49
2017-10-22,51
2017-10-29,50
2017-11-05,50
2017-11-12,49
2017-11-19,48
2017-11-26,49
2017-12-03,48
2017-12-10,47
2017-12-17,47
2017-12-24,58
2017-12-31,90
2018-01-07,74
2018-01-14,66
2018-01-21,65
2018-01-28,68
2018-02-04,60
2018-02-11,53
2018-02-18,59
2018-02-25,52
2018-03-04,56
2018-03-11,53
2018-03-18,51
2018-03-25,55
2018-04-01,52
2018-04-08,53
2018-04-15,49
2018-04-22,46
2018-04-29,49
2018-05-06,53
2018-05-13,51
2018-05-20,54
2018-05-27,57
2018-06-03,56
2018-06-10,53
2018-06-17,56
2018-06-24,51
2018-07-01,51
2018-07-08,54
2018-07-15,51
2018-07-22,56
2018-07-29,60
2018-08-05,57
2018-08-12,57
2018-08-19,57
2018-08-26,53
2018-09-02,58
2018-09-09,51
2018-09-16,57
2018-09-23,55
2018-09-30,53
2018-10-07,48
2018-10-14,48
2018-10-21,44
2018-10-28,47
2018-11-04,51
2018-11-11,49
2018-11-18,49
2018-11-25,56
2018-12-02,50
2018-12-09,47
2018-12-16,49
2018-12-23,58
2018-12-30,82
2019-01-06,72
2019-01-13,70
2019-01-20,63
2019-01-27,64
2019-02-03,61
2019-02-10,54
2019-02-17,57
2019-02-24,58
2019-03-03,58
2019-03-10,55
2019-03-17,55
2019-03-24,53
2019-03-31,56
2019-04-07,51
2019-04-14,49
2019-04-21,48
2019-04-28,57
2019-05-05,49
2019-05-12,60
2019-05-19,54
2019-05-26,56
2019-06-02,57
2019-06-09,57
2019-06-16,58
2019-06-23,56
2019-06-30,55
2019-07-07,54
2019-07-14,54
2019-07-21,54
2019-07-28,55
2019-08-04,51
2019-08-11,58
2019-08-18,57
2019-08-25,58
2019-09-01,64
2019-09-08,60
2019-09-15,53
2019-09-22,60
2019-09-29,61
2019-10-06,53
2019-10-13,49
2019-10-20,51
2019-10-27,53
2019-11-03,56
2019-11-10,54
2019-11-17,53
2019-11-24,52
2019-12-01,56
2019-12-08,55
2019-12-15,56
2019-12-22,58
2019-12-29,100